,CO_UF_PROVA,TP_ADM_GERAL,TP_ADM_PUBLICA,TP_ADM_PRIVADA
600,43,218469,141370,6552
601,43,218469,141370,9473
602,43,218469,141370,9114
603,43,249130,211917,6552
604,43,249130,211917,9473
605,43,249130,211917,9114
606,43,249130,239657,6552
607,43,249130,239657,9473
608,43,249130,239657,9114
609,43,249130,141370,6552
610,43,249130,141370,9473
611,43,249130,141370,9114
612,43,150484,211917,6552
613,43,150484,211917,9473
614,43,150484,211917,9114
615,43,150484,239657,6552
616,43,150484,239657,9473
617,43,150484,239657,9114
618,43,150484,141370,6552
619,43,150484,141370,9473
620,43,150484,141370,9114
621,50,70393,68447,1946
622,50,70393,68447,2558
623,50,70393,68447,2337
624,50,70393,81990,1946
625,50,70393,81990,2558
626,50,70393,81990,2337
627,50,70393,40153,1946
628,50,70393,40153,2558
629,50,70393,40153,2337
630,50,84548,68447,1946
631,50,84548,68447,2558
632,50,84548,68447,2337
633,50,84548,81990,1946
634,50,84548,81990,2558
635,50,84548,81990,2337
636,50,84548,40153,1946
637,50,84548,40153,2558
638,50,84548,40153,2337
639,50,42490,68447,1946
640,50,42490,68447,2558
641,50,42490,68447,2337
642,50,42490,81990,1946
643,50,42490,81990,2558
644,50,42490,81990,2337
645,50,42490,40153,1946
646,50,42490,40153,2558
647,50,42490,40153,2337
648,51,88121,86070,2051
649,51,88121,86070,2847
650,51,88121,86070,2864
651,51,88121,98880,2051
652,51,88121,98880,2847
653,51,88121,98880,2864
654,51,88121,53221,2051
655,51,88121,53221,2847
656,51,88121,53221,2864
657,51,101727,86070,2051
658,51,101727,86070,2847
659,51,101727,86070,2864
660,51,101727,98880,2051
661,51,101727,98880,2847
662,51,101727,98880,2864
663,51,101727,53221,2051
664,51,101727,53221,2847
665,51,101727,53221,2864
666,51,56085,86070,2051
667,51,56085,86070,2847
668,51,56085,86070,2864
669,51,56085,98880,2051
670,51,56085,98880,2847
671,51,56085,98880,2864
672,51,56085,53221,2051
673,51,56085,53221,2847
674,51,56085,53221,2864
675,52,169980,164253,5727
676,52,169980,164253,7765
677,52,169980,164253,7195
678,52,169980,203304,5727
679,52,169980,203304,7765
680,52,169980,203304,7195
681,52,169980,129720,5727
682,52,169980,129720,7765
